date,sp500_price,dividend,earnings,cpi,date_fraction,gs10,real_price,real_dividend,real_total_return_price,real_earnings,real_tr_scaled_earnings,cape,tr_cape,ecy,monthly_total_bond_returns,real_total_bond_returns,ten_year_annualized_stock_real_return,ten_year_annualized_bonds_real_return,real_10_year_excess_annualized_returns
1933-11-01,9.78,0.445,0.4375,13.2,1933.874999999943,3.151666666666667,242.9698375,11.055376041666669,6806.272167613604,10.869049479166668,304.47280913404416,12.011766193389937,16.334983881493507,0.025048616954833278,1.0039743486687611,12.927857136031767,0.04205116288450861,0.0032198175913822347,0.038831345293126374
1933-12-01,9.97,0.44,0.44,13.2,1933.9583333332762,3.1358333333333333,247.6901104166667,10.931158333333334,6964.018080155433,10.931158333333334,307.3388119627272,12.281801622601114,16.70920688529118,0.02337652587398356,1.0039621645587875,12.97923694783029,0.041494697632946886,0.0030215635146513264,0.03847313411829556
1934-01-01,10.54,0.4408,0.4442,13.2,1934.0416666666094,3.12,261.8509291666667,10.951033166666669,7387.81967525737,11.035501208333335,311.35384248096057,13.02511982833238,17.723577324689643,0.01888830546946972,1.0049460002047168,13.030662820465087,0.039096748092132705,0.002824635433106293,0.03627211265902641
1934-02-01,11.32,0.4417,0.4483,13.3,1934.1249999999427,3.0925,279.1143887218045,10.890885644736843,7900.49426532133,11.053620182330826,312.87911476533145,13.926922904274297,18.949402441246836,0.015491638140697539,1.0049261411367563,12.996652989101028,0.03189902862455729,0.0033744785010205725,0.028524550123536718
1934-03-01,10.74,0.4425,0.4525,13.3,1934.208333333276,3.065,264.8134748120301,10.910611043233082,7521.434552613501,11.15717852443609,316.89470531262646,13.254537629740085,18.036493561971543,0.019977583686114603,1.0049062875674284,13.060676336030784,0.040299764715348685,0.0031684800054778695,0.037131284709870815
1934-04-01,10.92,0.4433,0.4567,13.3,1934.2916666666092,3.0375000000000005,269.25168947368417,10.930336441729324,7673.363095217618,11.260736866541352,320.91803347856103,13.518389284490091,18.39627694791271,0.019352156359813792,1.0048864395080688,13.124755769960458,0.03626321252539344,0.002389175467176319,0.03387403705821712
1934-05-01,9.81,0.4442,0.4608,13.3,1934.3749999999425,3.0100000000000002,241.88269906015037,10.952527515037593,6919.389586812529,11.361829533834586,325.0208686649555,12.181583235024021,16.583942576102277,0.02774498195574003,1.0048665969700379,13.188889095088546,0.0493231694700873,0.0021858826627716432,0.04713728680731566
1934-06-01,9.94,0.445,0.465,13.4,1934.4583333332757,2.9825,243.2590608208955,10.890370429104479,6984.723498422154,11.379825279850747,326.75014353785735,12.28772648395243,16.734478982141685,0.028042045242693436,1.0048467599647228,13.154170564716297,0.05300968567713493,0.002163518598120362,0.05084616707901457
1934-07-01,9.47,0.4458,0.4692,13.4,1934.541666666609,2.955,231.75687182835821,10.909948623134328,6680.564789539656,11.482610798507464,330.99482568658993,11.741524229318248,15.999498232451346,0.03153029135162571,1.0048269285035347,13.2179256719785,0.060260403895487924,0.0013952474012906002,0.058865156494197324
1934-08-01,9.1,0.4467,0.4733,13.4,1934.6249999999422,2.9275,222.70195708955222,10.93197409141791,6445.810307191286,11.582949042910448,335.2529690542457,11.315025981829054,15.429440235825355,0.03558808145589266,1.0048071025979108,13.281727654162175,0.06293372843797163,0.0011959038505688913,0.061737824587402734
